Colleges
Lubbock Christian University
Lynn University
Malone University
Manhattan College
Marian University - Wisconsin
Marshall University
Maryville University
Massachusetts College of Pharmacy and Health Sciences
McKendree University
McNeese State University
Mercer University
Messiah College
Metropolitan State University of Denver
Michigan State University
Middle Tennessee State University
Midwestern Baptist Theological Seminary
Midwestern State University
Miller-Motte College Online
Minnesota State University at Mankato
Minnesota State University-Moorhead
Minot State University
Misericordia University
Mississippi College
Mississippi State University
Missouri Baptist University
Missouri Southern State University
Missouri State University
Missouri University of Science and Technology
Montana State University
Montana State University-Northern
Morehead State University
Morningside College
Mount Aloysius College
Mount Mercy University
Mount Vernon Nazarene University
Murray State University
National American University Online
Nebraska Methodist College
New England College
New Jersey Institute of Technology
New Mexico State University
New York University
Newman University
Nicholls State University
North Carolina A&T State University
North Carolina Central University
North Carolina State University
North Dakota State University - Main Campus
North Greenville University
Northcentral University
Northeastern State University
Northeastern University
Northern Arizona University
Northern Illinois University
Northern Kentucky University
Northern Michigan University
Northern State University
Northwest Missouri State University
Northwest Nazarene University
Northwest University
Northwestern State University of Louisiana
Northwestern University
Northwood University-Michigan
Norwich University
Notre Dame of Maryland University
Nova Southeastern University
Nyack College
Oakland City University
Ohio Christian University
Ohio State University-Main Campus
Ohio University-Main Campus
Oklahoma Christian University
Oklahoma State University-Main Campus
Oklahoma Wesleyan University
Old Dominion University
Olivet Nazarene University
Oral Roberts University
Oregon Institute of Technology
Oregon State University
Ottawa University Online
Our Lady of the Lake University
Pacific Oaks College
Penn Foster - Healthcare
Penn Foster Career School
Penn Foster College
Pennsylvania State University-World Campus
Pepperdine University
Pfeiffer University
Pinnacle Career Institute Online
Point Park University
Portland State University
Post University Online
Prescott College
Purdue University - Main Campus
Purdue University Global
Purdue University Northwest
Queens University of Charlotte
Quinnipiac University
Rasmussen College Online
Regent University Online
Regis College
Regis University
Rochester Institute of Technology
Rochester University
Rockhurst University
Rogers State University
Roosevelt University
Rowan University
Rutgers University
Sacred Heart University
Saint Cloud State University
Saint Francis University
Saint Joseph's College - New York
Saint Joseph's University
Saint Leo University Online
Saint Louis University-Main Campus
Saint Mary-of-the-Woods College
Saint Mary's University of Minnesota
Saint Thomas University
Saint Xavier University
Salem University
Sam Houston State University
Samford University
Savannah College of Art and Design
Saybrook University Hybrid Online
Seton Hall University
Shiloh University
Shorter University
Siena Heights University
Simmons University School of Social Work
South College
South Dakota State University
South University Online
Southeast Missouri State University
Southeastern Oklahoma State University
Southeastern University
Southern Arkansas University
The Southern Baptist Theological Seminary
Southern Illinois University - Carbondale
Southern Methodist University
Southern New Hampshire University Online
Southern Oregon University
Southern University and A & M College
Southern Utah University
Southwestern Assemblies of God University
Southwestern Christian University
Southwestern College - KS
Southwestern Oklahoma State University
Spring Arbor University Online
St. Bonaventure University Online
St. Catherine University
St. John's University
Stanford University
Stephen F. Austin State University
Stephens College
Sterling College - KS
Stevenson University
Stratford University
Syracuse University
Tabor College
Tarleton State University
Tennessee Tech University
Texas A & M University-Commerce
Texas A & M University-Corpus Christi
Texas A & M University-Kingsville
Texas A&M University-College Station
Texas Tech University
Texas Woman's University
Thomas Edison State University
Toccoa Falls College
Touro University Worldwide
Towson University
Trevecca Nazarene University
Trident University International
Trine University Online
Troy University
Truett McConnell University
Tulane University
Ultimate Medical Academy
Union College - KY
Union University
University at Buffalo
University College
University of Alabama
University of Alabama at Birmingham
University of Alabama in Huntsville
University of Alaska Fairbanks
University of Arizona
University of Arizona - Engineering
University of Arkansas
University of Bridgeport
University of California - Berkeley
University of California - Los Angeles
University of California-Irvine
University of Central Arkansas
University of Central Florida
University of Central Missouri
University of Charleston
University of Cincinnati
University of Colorado Boulder
University of Colorado Colorado Springs
University of Colorado Denver
University of Dallas
University of Dayton
University of Delaware
University of Denver
University of Detroit Mercy
University of Florida
University of Florida - Community Sciences
University of Georgia
University of Hartford
University of Houston
University of Houston-Clear Lake
University of Houston-Downtown
University of Idaho
University of Illinois at Springfield
University of Illinois Urbana - Champaign
University of Iowa
University of Kansas
University of Kentucky
University of La Verne
University of Louisiana-Lafayette
University of Louisiana-Monroe
University of Louisville
University of Maine
University of Maine at Fort Kent
University of Mary
University of Maryland - College Park
University of Maryland Global Campus
University of Massachusetts - Amherst
University of Massachusetts-Boston
University of Massachusetts-Dartmouth
University of Massachusetts-Lowell
University of Memphis
University of Michigan - Ann Arbor
University of Michigan - Dearborn
University of Michigan-Flint
University of Minnesota Digital Campus
University of Minnesota-Crookston
University of Minnesota-Twin Cities
University of Missouri
University of Missouri at Saint Louis
University of Missouri-Kansas City
The University of Montana
University of Mount Olive
University of Nebraska at Kearney
University of Nebraska at Omaha
University of Nebraska-Lincoln
University of Nevada - Reno
University of New Haven
University of New Mexico
University of North Alabama
University of North Carolina at Chapel Hill
University of North Carolina at Charlotte
University of North Carolina at Greensboro
University of North Carolina at Pembroke
University of North Carolina at Wilmington
University of North Dakota
University of North Texas
University of Northern Colorado
University of Northern Iowa
University of Northwestern - St. Paul
University of Northwestern Ohio
University of Notre Dame
University of Oklahoma-Norman Campus
University of Phoenix
University of Pittsburgh-Pittsburgh Campus
University of Redlands
University of Rhode Island
University of Saint Francis
University of Saint Mary
The University of Scranton
University of Sioux Falls
University of South Alabama
University of South Carolina-Aiken
University of South Carolina-Columbia
University of South Dakota
University of South Florida - Main Campus
University of Southern California
University of Southern Indiana
University of Southern Maine
University of Southern Mississippi
University of St Francis
The University of Tennessee - Knoxville
The University of Tennessee - Martin
The University of Texas at Arlington
The University of Texas at Austin
The University of Texas at Dallas
The University of Texas at El Paso
The University of Texas at Tyler
The University of Texas of the Permian Basin
University of the Cumberlands
University of the Incarnate Word
University of the Southwest
University of the Virgin Islands
University of Toledo
University of Utah
University of Valley Forge
University of Virginia
University of Washington - Seattle
University of West Alabama
The University of West Florida
University of Wisconsin - Madison
University of Wisconsin-La Crosse
University of Wisconsin-Milwaukee
University of Wisconsin-Oshkosh
University of Wisconsin-Platteville
University of Wisconsin-Stevens Point
University of Wisconsin-Whitewater
University of Wyoming
Upper Iowa University
USC Suzanne Dworak-Peck School of Social Work
Utah State University
Utica College
Valdosta State University
Valley City State University
Valparaiso University
Villanova University
Villanova University Online Graduate Programs
Virginia College Online
Virginia Polytechnic Institute and State University
Viterbo University
Walden University
Waldorf University
Walsh University
Warner University
Washington State University
Wayland Baptist University
Wayne State University
Webster University
West Coast University
West Texas A & M University
West Virginia University
Western Carolina University
Western Governors University
Western Illinois University
Western Kentucky University
Western Michigan University
Western New England University
Western Washington University
Wheeling Jesuit University
Wichita State University
Widener University
Wilkes University
William Carey University
William Woods University
Winthrop University
Wright State University-Main Campus
York College
Youngstown State University
